x,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn,sr,turn
80,0.26,31.36,0.36,26.24,0.26,28.52,0.12,32.24,0.2,26.4,0.4,22.92,0.3,29.72,0.36,30.4,0.26,26.08,0.32,29.52,0.24,34.88,0.22,30.28,0.34,26.4,0.3,28.88,0.46,26.6
81,0.42,27.8,0.28,31.8,0.26,27.44,0.2,34.08,0.2,29.6,0.42,26.4,0.54,26.68,0.32,28.32,0.3,29.24,0.18,33.12,0.16,30.24,0.12,36.28,0.26,35.68,0.34,27.28,0.3,34.76
82,0.38,27.6,0.28,29.12,0.26,28.8,0.2,32.92,0.2,23.12,0.3,27.04,0.48,24.88,0.16,29.2,0.22,31.64,0.38,30.16,0.24,34,0.2,28.28,0.36,27.04,0.36,30.84,0.3,34.08
83,0.36,28.68,0.18,32.32,0.26,30,0.12,31.32,0.1,29.32,0.26,28.8,0.32,31.32,0.26,31.04,0.42,28.16,0.22,28,0.2,33.04,0.24,32.68,0.12,37.72,0.26,31.56,0.36,30.56
84,0.28,28.72,0.28,30.76,0.4,27,0.18,30.68,0.2,29.72,0.26,29.24,0.36,30.48,0.32,29.44,0.28,29.48,0.32,26.64,0.26,31.44,0.14,35.84,0.18,36.2,0.28,26.24,0.24,33.2
85,0.2,32.56,0.22,31.24,0.32,26,0.22,30.12,0.32,22.84,0.3,30.92,0.44,27.56,0.22,30.04,0.22,30.4,0.18,27.68,0.28,31.28,0.26,33.24,0.32,28.84,0.24,29.16,0.2,30.56
86,0.32,28.4,0.18,31.32,0.38,30,0.22,30.32,0.22,25.8,0.28,28.08,0.4,26.64,0.5,20.2,0.22,33.88,0.36,30.16,0.04,34.48,0.26,32.56,0.36,26.24,0.28,32.48,0.18,30.16
87,0.16,32.52,0.18,29.36,0.24,30.08,0.2,26.24,0.24,28.68,0.26,27,0.28,30.92,0.2,31.68,0.28,33.6,0.28,26.48,0.14,33.72,0.16,28.24,0.42,27.8,0.3,29.6,0.26,27.28
88,0.38,27.92,0.3,29,0.28,28.88,0.28,28.08,0.18,26.96,0.3,29.04,0.36,28.28,0.2,33.48,0.18,34.6,0.14,31.4,0.06,33.8,0.34,29.72,0.44,24.32,0.3,34.2,0.3,27.96
89,0.28,26,0.2,27.4,0.4,27.8,0.14,27.72,0.26,29.16,0.36,27.04,0.3,31.96,0.42,29.76,0.34,29.84,0.12,35.08,0.12,32.48,0.26,31.76,0.56,24.44,0.2,28.16,0.3,26.64
90,0.4,28,0.26,28.84,0.38,29.8,0.32,25.04,0.36,25.44,0.34,26.64,0.24,27.36,0.32,25.84,0.36,24,0.2,29.72,0.16,33.68,0.22,31.68,0.34,32.16,0.16,33.16,0.26,31.28
91,0.34,28.8,0.18,31.12,0.22,30.72,0.26,28.4,0.14,30.84,0.22,27.16,0.42,29.4,0.28,32.64,0.3,25.4,0.22,22.88,0.32,29.08,0.22,33.64,0.28,31.2,0.26,30.44,0.3,26.96
92,0.48,25.36,0.38,27.12,0.28,27.12,0.26,28.56,0.32,27.64,0.34,25.12,0.4,25.08,0.22,31.8,0.28,29.16,0.3,32.12,0.22,32.04,0.3,30.56,0.34,29.44,0.34,29.28,0.36,27.68
93,0.3,31.28,0.2,32.28,0.3,29.48,0.1,32.84,0.24,28.08,0.32,30.68,0.5,24.84,0.18,33.08,0.34,31,0.2,33.84,0.26,31.76,0.28,30.32,0.22,32.88,0.32,27.6,0.32,30.08
94,0.38,29.6,0.28,28.68,0.4,26.36,0.24,28.88,0.22,30.88,0.24,29.52,0.44,30.32,0.38,24.96,0.24,30.68,0.28,28.84,0.22,33.56,0.28,34.08,0.44,26.16,0.3,28.64,0.36,31.32
95,0.22,29.76,0.2,27.12,0.3,29.32,0.42,23.84,0.34,28.2,0.2,23.08,0.42,25.88,0.3,32.2,0.3,30.92,0.32,28.28,0.28,23.16,0.22,29.36,0.32,36.08,0.28,35.6,0.24,33.12
96,0.28,30.12,0.3,22.36,0.3,27.68,0.3,27.04,0.32,28.36,0.42,18.48,0.28,26.32,0.14,35.32,0.28,25.2,0.22,29.08,0.3,27,0.38,23.12,0.34,28.88,0.24,31.96,0.26,30.88
97,0.4,28.76,0.3,28.56,0.4,31.04,0.24,28.28,0.18,29.44,0.4,20.64,0.34,28.96,0.22,32.84,0.28,29.68,0.16,32.2,0.24,33.76,0.28,30.68,0.38,28.84,0.48,24.48,0.2,33
98,0.22,30.36,0.34,28.96,0.36,26.64,0.24,31.4,0.24,29.2,0.28,28.68,0.26,30.8,0.4,28.32,0.26,26.92,0.16,35.8,0.26,29.96,0.2,27.16,0.24,34.28,0.38,28.24,0.34,29.76
99,0.28,30.04,0.24,31.44,0.5,24.12,0.24,27.32,0.3,26.88,0.3,30.2,0.4,28.96,0.34,27.52,0.32,30.32,0.38,28.04,0.24,28.84,0.26,32.2,0.24,32.56,0.28,31.88,0.24,33.68
100,0.22,28.68,0.3,27.04,0.3,27.44,0.24,25.8,0.4,26.08,0.3,27.08,0.28,25.64,0.24,33,0.44,28.24,0.28,29.76,0.3,26.48,0.26,29.2,0.34,31.44,0.22,33.96,0.22,31.36
101,0.3,25.88,0.22,28.56,0.24,27.68,0.26,29.76,0.24,27.96,0.42,27.4,0.46,24.48,0.3,29.36,0.24,30.12,0.32,27.72,0.24,26,0.32,31.48,0.3,30.44,0.3,32.32,0.24,25.72
102,0.76,19.44,0.26,29.48,0.86,16,0.56,23.52,0.18,30.64,0.62,19.8,0.74,26.44,0.86,15.72,0.7,18.56,0.7,35.28,0.56,18.92,0.72,25.2,0.78,18.8,0.62,19.72,0.62,19.96
103,0.84,18.96,0.56,18.44,0.56,22.64,0.66,23.32,0.38,28.12,0.54,17.68,0.74,17.76,0.8,23.36,0.76,18.4,0.52,30.04,0.5,28.96,0.54,23.84,0.72,21.96,0.8,21.4,0.64,21.88
104,0.48,23.72,0.56,14.28,0.88,16.96,0.7,25.36,0.5,27.72,0.76,18.68,0.86,17.16,0.68,21.76,0.8,24.36,0.74,21,0.6,25.2,0.66,27.44,0.78,15.6,0.8,20.44,0.72,21.16
105,0.52,25.32,0.68,19,0.74,18.8,0.76,19.64,0.58,24.76,0.62,20.28,0.76,19.12,0.76,21.64,0.52,26.08,0.58,24.96,0.66,31,0.5,25.76,0.84,15.48,0.64,32.88,0.72,22.8
106,0.76,18.48,0.32,20.92,0.78,16,0.7,21.84,0.48,28.56,0.58,27.96,0.72,29.2,0.74,21.2,0.62,20,0.54,25.64,0.66,30.88,0.66,18.96,0.78,19.36,0.58,21.6,0.68,27.36
107,0.86,18.44,0.56,16.76,0.62,21.48,0.64,22,0.52,25.92,0.66,20.96,0.74,20.12,0.76,21.32,0.54,23.88,0.5,20.8,0.7,28.88,0.62,23.24,0.78,16.6,0.64,24.48,0.82,26.16
108,0.84,18.24,0.72,18.28,0.7,20.84,0.7,20.28,0.64,23.56,0.68,22.84,0.78,21.52,0.68,22.8,0.52,28.12,0.74,20.68,0.44,29.32,0.7,16.76,0.76,19.76,0.7,27.6,0.68,24.2
109,0.6,18.84,0.8,19.76,0.66,19.96,0.66,20.32,0.44,29.04,0.58,25.16,0.82,21.56,0.7,25.6,0.3,27.76,0.4,27.08,0.16,30.64,0.68,16.56,0.64,19.56,0.66,22.08,0.66,20.92
110,0.58,20.48,0.74,20.56,0.54,21.8,0.64,21.6,0.46,28.56,0.3,22.64,0.64,27.6,0.8,19.24,0.2,34.6,0.48,33,0.14,29.68,0.58,21.32,0.7,20.48,0.56,23.28,0.52,28.68
111,0.7,19.84,0.8,18.36,0.66,21.72,0.7,18.44,0.48,23.52,0.32,24.12,0.72,19.76,0.7,19.88,0.34,22.28,0.56,26.28,0.14,27.36,0.64,22.8,0.76,15.24,0.72,18.04,0.52,23.44
112,0.86,20.36,0.82,17.36,0.78,18.96,0.4,22.08,0.52,25.44,0.44,28.28,0.78,26,0.6,21.36,0.6,26.28,0.52,21.56,0.16,24.8,0.68,17.68,0.82,15.44,0.72,26.12,0.32,23.04
113,0.82,19.64,0.74,16.28,0.7,22.28,0.64,20.44,0.58,22.88,0.48,19.52,0.68,23,0.66,17.64,0.16,32.4,0.48,27.04,0.26,24.32,0.66,29.32,0.78,16.4,0.62,27.68,0.8,16.44
114,0.82,17.64,0.72,17.24,0.68,22.16,0.66,20.2,0.48,24,0.22,21.4,0.6,21.32,0.7,25.36,0.36,22.4,0.6,22.6,0.2,32,0.66,26.32,0.66,18.88,0.6,27,0.52,25.88
115,0.5,24.04,0.76,18,0.7,21.16,0.7,19.68,0.6,22.44,0.54,18.12,0.8,21.36,0.76,19.88,0.58,21.12,0.62,24.64,0.6,31.12,0.68,17.36,0.7,19.36,0.6,25.72,0.52,23.72
